이름,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
페르난데스,5.1,144,645,572,87,197,34,0,15,276,88,1,2,61,6,4,54,16,0,6,0.344,0.409,0.483,0.892,0.408,154.7,5.1,3.32
박건우,4.68,127,537,458,83,146,27,5,10,213,64,12,3,60,7,0,57,23,1,11,0.319,0.397,0.465,0.863,0.394,144.3,4.68,0.91
오재일,4.14,130,529,467,76,137,29,1,21,231,102,2,1,55,3,1,99,5,0,4,0.293,0.369,0.495,0.863,0.39,145.1,4.14,4.6
김재환,3.52,136,573,494,76,140,20,5,15,215,91,3,1,63,5,5,113,7,0,11,0.283,0.363,0.435,0.798,0.362,123.5,3.52,2.53
박세혁,3.06,137,505,441,58,123,19,9,4,172,63,8,2,41,7,1,68,5,10,6,0.279,0.346,0.39,0.736,0.334,101.3,3.06,1.02
김재호,2.89,130,470,377,51,101,22,0,4,135,48,3,3,67,7,3,58,10,8,11,0.268,0.379,0.358,0.737,0.342,108.2,2.89,-0.2
허경민,2.44,133,540,475,71,137,25,1,4,176,60,11,5,34,17,2,36,16,3,11,0.288,0.35,0.371,0.721,0.334,102.4,2.44,-0.25
정수빈,2.05,123,513,441,75,117,19,5,0,146,42,26,8,57,6,0,60,6,4,5,0.265,0.354,0.331,0.685,0.325,94.8,2.05,0.15
최주환,0.75,87,325,285,27,79,13,0,4,104,47,0,0,28,1,0,35,10,0,11,0.277,0.332,0.365,0.697,0.323,95.2,0.75,-0.87
류지혁,0.51,118,316,276,36,69,6,2,0,79,34,18,5,24,7,0,40,6,6,3,0.25,0.323,0.286,0.609,0.289,69.9,0.51,0.14
이흥련,0.22,27,44,42,3,13,2,1,0,17,5,0,0,2,0,0,12,1,0,0,0.31,0.341,0.405,0.746,0.345,106.8,0.22,-0.41
김인태,0.19,26,70,60,6,14,2,1,2,24,7,1,1,8,0,0,12,2,1,1,0.233,0.319,0.4,0.719,0.324,98.1,0.19,0.41
이병휘,0.1,21,12,12,6,3,0,0,0,3,1,5,0,0,0,0,3,0,0,0,0.25,0.25,0.25,0.5,0.236,32.3,0.1,-0.04
신성현,0.07,35,54,41,9,8,0,0,1,11,6,0,0,10,1,0,14,0,0,2,0.195,0.352,0.268,0.62,0.308,86.3,0.07,-0.13
정병곤,0.01,20,31,27,6,5,1,0,0,6,4,0,0,2,2,0,4,2,0,0,0.185,0.29,0.222,0.513,0.259,50.9,0.01,-0.4
박유연,0.01,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.01,-0.01
전민재,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김승회,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
함덕주,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
권혁,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
이영하,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
배영수,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
이유찬,-0.02,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.3,-0.02,0
김태근,-0.04,9,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,,,,,,,-0.04,0.02
송승환,-0.05,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-127.3,-0.05,0
국해성,-0.06,21,41,35,2,6,3,0,0,9,2,0,0,5,1,0,13,3,0,0,0.171,0.293,0.257,0.55,0.272,60.3,-0.06,-0.65
서예일,-0.07,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.3,-0.07,0
장승현,-0.14,35,46,41,3,7,2,0,0,9,3,0,0,3,1,0,13,0,0,1,0.171,0.239,0.22,0.459,0.223,26.1,-0.14,-0.2
김경호,-0.22,32,27,26,4,5,1,0,0,6,2,0,0,0,0,0,7,0,1,0,0.192,0.192,0.231,0.423,0.189,1.4,-0.22,-0.44
김대한,-0.22,19,18,15,4,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0.167,0,0.167,0.12,-43.4,-0.22,-0.19
러프,4.18,133,568,472,80,138,35,2,22,243,101,6,3,80,7,6,87,18,0,9,0.292,0.396,0.515,0.911,0.406,145.8,4.18,1.3
김상수,2.97,129,543,468,76,127,20,2,5,166,38,21,3,50,15,1,67,14,6,4,0.271,0.358,0.355,0.712,0.334,100,2.97,-1.97
이원석,1.98,111,455,395,44,97,20,0,19,174,76,2,1,43,8,0,73,10,2,7,0.246,0.327,0.441,0.767,0.346,104.8,1.98,0.89
구자욱,1.95,122,526,475,66,127,27,6,15,211,71,11,3,38,7,2,88,5,0,6,0.267,0.327,0.444,0.771,0.348,107.6,1.95,1.16
강민호,1.83,112,393,346,36,81,20,0,13,140,45,0,0,33,9,2,76,9,2,3,0.234,0.315,0.405,0.719,0.327,92.2,1.83,0.46
이학주,1.78,118,436,385,43,101,14,3,7,142,36,15,5,32,10,0,89,3,5,4,0.262,0.332,0.369,0.701,0.324,92.7,1.78,-0.2
김헌곤,1.68,114,467,411,57,122,20,1,5,159,46,10,8,37,8,1,41,18,5,6,0.297,0.362,0.387,0.748,0.346,107.6,1.68,-0.37
박해민,1.26,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,0.239,0.318,0.328,0.646,0.3,76.8,1.26,-1.36
박계범,1.01,58,204,168,26,43,8,1,4,65,25,5,1,22,5,0,45,7,6,3,0.256,0.354,0.387,0.74,0.336,99.9,1.01,-0.34
윌리엄슨,0.46,40,168,154,19,42,7,1,4,63,15,0,1,13,0,0,50,2,0,1,0.273,0.327,0.409,0.737,0.339,101.9,0.46,-0.42
최영진,0.23,96,275,251,29,63,15,1,5,95,20,4,1,14,2,2,47,4,8,0,0.251,0.296,0.378,0.674,0.299,74.9,0.23,-1.26
공민규,0.21,28,60,53,4,13,1,0,3,23,6,0,0,6,1,0,18,0,0,0,0.245,0.333,0.434,0.767,0.352,108.8,0.21,0.1
이성규,0.15,16,46,43,3,11,2,0,2,19,7,1,1,2,1,0,16,1,0,0,0.256,0.304,0.442,0.746,0.339,100,0.15,-0.01
김도환,0.1,61,106,93,7,19,6,0,2,31,7,0,0,8,0,0,36,0,4,1,0.204,0.265,0.333,0.598,0.266,52,0.1,-0.44
박한이,0.1,30,85,74,6,19,3,0,2,28,13,0,0,9,0,0,17,0,1,1,0.257,0.333,0.378,0.712,0.327,93.9,0.1,0.32
최선호,0.01,17,8,6,1,1,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0.167,0.375,0.167,0.542,0.298,76.2,0.01,0.02
최지광,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
권오준,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김응민,-0.02,8,13,13,0,3,1,0,0,4,0,0,0,0,0,0,6,1,0,0,0.231,0.231,0.308,0.539,0.247,40.6,-0.02,-0.28
양우현,-0.02,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.3,-0.02,0
박찬도,-0.02,30,34,32,10,9,1,0,0,10,2,0,1,2,0,1,10,0,0,0,0.281,0.324,0.313,0.636,0.291,72.6,-0.02,-0.37
김재현,-0.05,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-127.3,-0.05,-0.03
이현동,-0.05,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-127.3,-0.05,-0.07
송준석,-0.08,26,56,51,6,12,3,0,1,18,4,0,0,2,1,0,14,3,1,1,0.235,0.273,0.353,0.626,0.282,63,-0.08,-0.43
박승규,-0.14,14,23,21,2,4,0,0,0,4,2,1,1,2,0,0,7,0,0,0,0.19,0.261,0.19,0.451,0.227,28.5,-0.14,-0.08
김민수,-0.15,29,41,39,5,8,1,0,0,9,2,0,0,1,0,0,16,0,0,1,0.205,0.22,0.231,0.45,0.211,17.3,-0.15,-0.59
김호재,-0.16,28,33,32,1,7,1,0,0,8,0,0,1,1,0,0,7,1,0,0,0.219,0.242,0.25,0.492,0.234,32.4,-0.16,-0.07
백승민,-0.21,19,45,42,4,10,1,0,0,11,4,0,0,2,0,0,12,2,0,1,0.238,0.267,0.262,0.529,0.25,44.1,-0.21,-0.31
손주인,-0.27,20,35,31,2,6,0,0,1,9,4,0,1,2,0,0,6,3,2,0,0.194,0.242,0.29,0.533,0.235,31.3,-0.27,-0.3
이성곤,-0.3,13,28,28,1,5,3,0,0,8,0,0,0,0,0,0,6,0,0,0,0.179,0.179,0.286,0.464,0.209,13.3,-0.3,-0.12
최정,6.32,141,606,503,86,147,27,0,29,261,99,3,2,69,26,6,92,4,0,8,0.292,0.399,0.519,0.918,0.411,148.9,6.32,3.85
로맥,4.02,137,589,504,86,139,28,1,29,256,95,6,3,73,6,3,117,11,0,6,0.276,0.37,0.508,0.878,0.393,136.7,4.02,1.09
이재원,2.66,139,502,451,33,121,19,0,12,176,75,1,0,34,9,2,59,16,1,7,0.268,0.327,0.39,0.718,0.33,95.9,2.66,0.43
고종욱,2.26,137,513,492,76,159,25,7,3,207,56,31,10,18,1,1,89,5,0,2,0.323,0.347,0.421,0.768,0.353,115.5,2.26,1.73
한동민,2.11,125,502,427,52,113,20,0,12,169,52,0,1,55,20,4,100,6,0,0,0.265,0.375,0.396,0.77,0.361,116.9,2.11,0.83
정의윤,1.68,110,419,380,44,107,24,0,13,170,59,0,0,30,6,1,60,9,0,2,0.282,0.342,0.447,0.79,0.359,115.8,1.68,0.47
김강민,1.63,127,460,422,54,114,14,2,8,156,50,15,8,31,4,3,103,2,0,3,0.27,0.324,0.37,0.694,0.321,90.7,1.63,-0.67
노수광,0.57,117,445,388,69,97,16,1,2,121,28,27,10,46,2,0,68,1,9,0,0.25,0.333,0.312,0.644,0.304,80.9,0.57,0.92
김성현,0.5,144,472,426,45,105,16,2,1,128,34,6,2,33,2,0,43,15,8,3,0.246,0.302,0.3,0.602,0.282,66.1,0.5,-1.99
최항,0.2,52,147,127,12,29,5,0,0,34,14,2,0,16,2,0,24,3,1,1,0.228,0.322,0.268,0.59,0.288,70.1,0.2,-1.09
김재현,0.13,83,49,42,29,12,2,1,0,16,2,13,6,4,0,0,11,0,3,0,0.286,0.348,0.381,0.729,0.32,93.9,0.13,0.45
임재현,0.1,6,3,3,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.333,0.63,302.3,0.1,-0.01
채현우,0.03,9,1,1,2,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,,0.03,0.04
오준혁,0.01,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.01,0
이승진,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김태훈,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
신재웅,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
최준우,-0.02,15,36,33,3,7,2,0,0,9,0,0,0,3,0,0,3,2,0,0,0.212,0.278,0.273,0.551,0.265,54.8,-0.02,-0.21
김성민,-0.03,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.25,0.25,0.25,0.5,0.236,33,-0.03,-0.07
박정권,-0.03,18,37,32,5,6,1,0,1,10,5,0,0,5,0,0,11,0,0,0,0.188,0.297,0.313,0.61,0.291,69.4,-0.03,-0.63
박승욱,-0.04,8,15,13,3,1,0,0,1,4,2,0,0,2,0,0,5,0,0,0,0.077,0.2,0.308,0.508,0.234,25.6,-0.04,-0.39
최민재,-0.06,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.3,-0.06,-0.08
이현석,-0.07,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-127.3,-0.07,-0.03
남태혁,-0.07,12,24,22,1,5,0,0,0,5,1,0,0,2,0,0,3,3,0,0,0.227,0.292,0.227,0.519,0.257,48.3,-0.07,-0.47
최승준,-0.09,10,24,22,2,5,0,0,0,5,0,0,0,2,0,0,10,1,0,0,0.227,0.292,0.227,0.519,0.257,48.1,-0.09,-0.19
배영섭,-0.11,30,80,71,5,16,1,0,0,17,7,2,0,6,2,0,15,0,0,1,0.225,0.3,0.239,0.539,0.267,54.8,-0.11,0.4
정진기,-0.14,13,17,16,1,3,0,0,0,3,2,0,0,1,0,0,2,0,0,0,0.188,0.235,0.188,0.423,0.209,15.6,-0.14,-0.13
강승호,-0.18,15,42,39,5,6,0,0,2,12,5,0,0,2,0,0,18,1,1,0,0.154,0.195,0.308,0.503,0.223,19.7,-0.18,-0.38
김창평,-0.23,18,53,45,4,8,2,0,0,10,3,0,0,4,1,0,11,1,3,0,0.178,0.26,0.222,0.482,0.225,27.3,-0.23,-0.49
최경모,-0.25,17,16,16,2,1,1,0,0,2,1,0,0,0,0,0,2,0,0,0,0.063,0.063,0.125,0.188,0.082,-69.6,-0.25,-0.05
이천웅,3.98,138,613,546,88,168,24,3,2,204,48,21,10,57,5,1,82,13,4,1,0.308,0.378,0.374,0.751,0.353,114.3,3.98,2.02
김현수,3.57,140,595,526,75,160,37,0,11,230,82,3,1,54,6,9,52,11,0,9,0.304,0.37,0.437,0.807,0.366,125.8,3.57,3.29
오지환,3.37,134,547,473,63,119,23,5,9,179,53,27,5,57,7,1,113,7,7,3,0.252,0.339,0.378,0.717,0.33,100.8,3.37,0.85
유강남,3.35,132,468,418,44,113,22,0,16,183,49,0,0,30,13,2,82,21,1,6,0.27,0.334,0.438,0.772,0.35,117,3.35,0
채은성,3.16,128,513,469,59,148,18,1,12,204,72,2,2,24,12,1,66,9,0,8,0.316,0.359,0.435,0.794,0.364,124.5,3.16,-0.31
이형종,2.99,120,482,419,56,120,24,1,13,185,63,6,5,42,10,1,78,9,1,10,0.286,0.358,0.442,0.799,0.363,125.2,2.99,0.34
김민성,1.66,107,401,361,44,94,16,0,8,134,50,2,1,30,4,0,75,12,5,1,0.26,0.323,0.371,0.694,0.32,94.6,1.66,0.43
페게로,1.22,52,214,199,24,57,10,0,9,94,44,2,1,12,2,0,63,2,0,1,0.286,0.332,0.472,0.804,0.364,127.3,1.22,1.8
조셉,0.91,55,217,197,17,54,3,0,9,84,36,0,1,14,4,0,46,3,0,2,0.274,0.332,0.426,0.758,0.347,115.6,0.91,0.07
박용택,0.34,64,215,195,19,55,9,0,1,67,22,3,1,18,0,1,30,3,0,2,0.282,0.34,0.344,0.683,0.321,92.7,0.34,-0.85
전민수,0.08,75,105,95,8,23,7,0,0,30,8,2,1,9,0,0,18,4,1,0,0.242,0.308,0.316,0.624,0.294,74.1,0.08,-0.03
박지규,0.06,10,18,11,2,1,0,0,0,1,1,0,0,4,2,0,7,0,1,0,0.091,0.412,0.091,0.503,0.296,77.9,0.06,0.11
김재성,0.04,3,7,5,0,1,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0.2,0.429,0.2,0.629,0.341,106.4,0.04,0.07
홍창기,0.02,23,25,23,3,5,2,0,0,7,0,2,0,1,1,0,12,1,0,0,0.217,0.28,0.304,0.584,0.278,63,0.02,-0.07
정주현,0.01,129,425,376,53,87,19,2,2,116,27,15,6,31,1,0,91,10,16,1,0.231,0.291,0.309,0.6,0.273,60.1,0.01,-0.98
양원혁,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
진해수,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
최동환,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김대현,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
여건욱,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
정우영,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
문광은,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
이상영,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
장원삼,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
신정락,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
고우석,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
신민재,-0.01,81,93,80,25,19,3,0,0,22,5,10,8,8,3,0,17,0,1,1,0.238,0.326,0.275,0.601,0.291,72.2,-0.01,-0.18
류형우,-0.04,10,12,11,2,2,0,0,0,2,1,0,0,1,0,0,3,1,0,0,0.182,0.25,0.182,0.432,0.218,21,-0.04,0.03
서상우,-0.04,13,24,21,2,5,1,0,0,6,1,0,0,3,0,0,8,1,0,0,0.238,0.333,0.286,0.619,0.303,79.6,-0.04,-0.22
전준호,-0.1,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-127.3,-0.1,-0.05
안치홍,2.84,105,408,362,45,114,18,1,5,149,49,4,2,40,1,1,37,9,0,5,0.315,0.38,0.412,0.792,0.368,123.3,2.84,0.93
이창진,2.5,133,470,400,57,108,25,1,6,153,48,8,8,57,4,0,92,8,4,5,0.27,0.363,0.383,0.745,0.347,108.8,2.5,-0.85
김선빈,2.3,121,447,394,55,115,22,0,3,146,40,5,4,43,1,0,26,7,5,4,0.292,0.36,0.371,0.73,0.34,104.6,2.3,1.05
이명기,1.28,80,302,265,37,75,10,2,1,92,20,4,3,28,4,1,41,4,3,2,0.283,0.358,0.347,0.705,0.331,97.6,1.28,-0.9
유민상,1.23,61,202,175,23,51,15,0,5,81,26,0,0,23,4,0,35,6,0,0,0.291,0.386,0.463,0.849,0.391,139.6,1.23,0.46
박찬호,0.91,133,541,504,60,131,15,4,2,160,49,39,6,26,4,0,83,8,5,2,0.26,0.3,0.317,0.618,0.289,68.7,0.91,-0.19
김주찬,0.71,100,363,337,35,101,16,0,3,126,32,3,1,17,5,3,44,6,1,3,0.3,0.34,0.374,0.714,0.33,97,0.71,-0.46
황윤호,0.43,57,130,123,9,37,5,2,1,49,9,2,2,5,0,0,12,2,1,1,0.301,0.326,0.398,0.724,0.331,97.3,0.43,-0.25
신범수,0.34,39,65,57,4,12,5,0,2,23,7,0,0,7,1,0,14,1,0,0,0.211,0.308,0.404,0.711,0.327,96.2,0.34,-0.08
한승택,0.27,105,288,251,22,56,9,1,3,76,27,1,0,27,1,1,82,8,7,2,0.223,0.299,0.303,0.602,0.278,61.6,0.27,-0.5
백용환,0.24,28,51,47,3,11,2,0,2,19,6,0,0,3,1,0,14,0,0,0,0.234,0.294,0.404,0.698,0.32,90.9,0.24,-0.37
나지완,0.06,56,153,129,12,24,5,0,6,47,17,0,0,19,3,1,37,3,0,2,0.186,0.301,0.364,0.665,0.306,82.2,0.06,-0.7
류승현,0.05,57,163,150,14,38,8,1,0,48,14,3,2,9,4,0,29,3,0,0,0.253,0.313,0.32,0.633,0.301,77.1,0.05,-0.12
한준수,0.04,7,20,20,2,6,2,0,0,8,2,0,0,0,0,0,2,2,0,0,0.3,0.3,0.4,0.7,0.321,90.8,0.04,-0.07
이정훈,0.02,7,15,14,0,4,1,0,0,5,3,0,0,0,0,0,1,2,0,1,0.286,0.267,0.357,0.624,0.277,61,0.02,-0.1
이범호,0.02,19,31,26,1,6,1,0,1,10,5,0,0,3,0,0,3,1,0,2,0.231,0.29,0.385,0.675,0.301,78.9,0.02,-0.29
문경찬,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0
전상현,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
양승철,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
고영창,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
김세현,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
임기준,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
장지수,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
이민우,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0
최정용,-0.02,8,21,21,4,6,0,0,0,6,1,0,0,0,0,0,10,0,0,0,0.286,0.286,0.286,0.571,0.27,53.6,-0.02,-0.09
문선재,-0.02,29,61,49,7,8,0,0,3,17,6,2,1,9,1,0,18,0,0,2,0.163,0.295,0.347,0.642,0.298,76.9,-0.02,-0.47
이인행,-0.04,9,20,16,1,3,1,0,0,4,2,0,0,2,1,0,6,1,1,0,0.188,0.316,0.25,0.566,0.27,56,-0.04,0.06
홍재호,-0.05,10,20,19,2,4,0,0,0,4,0,0,0,1,0,0,5,1,0,0,0.211,0.25,0.211,0.461,0.225,25.2,-0.05,0.17
