이름,WAR.,G,타석,타수,득점,안타,X2타,X3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC.,WPA,target
박용근,0.22,27,86,76,7,20,6,0,0,26,4,5,2,7,0,0,15,4,3,0,0.263,0.325,0.342,0.667,0.301,65.1,-0.5,4000
오정복,0.49,66,278,239,34,62,11,1,5,90,29,3,3,33,3,0,26,3,2,1,0.259,0.355,0.377,0.732,0.337,90.4,1.9,8000
윤요섭,0.03,74,159,148,17,39,4,0,9,70,28,0,1,6,1,0,39,5,2,2,0.264,0.293,0.473,0.766,0.326,85.2,-0.6,6500
이대형,2.18,140,616,546,86,165,23,3,0,194,37,44,14,53,6,0,92,5,10,1,0.302,0.37,0.355,0.725,0.337,88.9,1.54,30000
장성우,3.03,111,435,384,51,111,18,0,10,159,65,1,2,41,0,1,73,9,2,8,0.289,0.351,0.414,0.765,0.343,94.6,1.71,6500
장성호,0.35,49,114,94,11,29,4,0,1,36,16,1,0,17,2,0,15,3,0,1,0.309,0.421,0.383,0.804,0.381,118.4,0.11,10000
하준호,1.25,68,249,218,30,59,9,0,5,83,25,10,3,21,7,1,59,2,2,1,0.271,0.352,0.381,0.733,0.335,88.6,0.91,6000
김동명,-0.26,21,41,37,3,5,0,0,3,14,5,0,0,3,1,0,14,2,0,0,0.135,0.22,0.378,0.598,0.258,33.2,-0.46,3100
김사연,-0.15,20,63,56,6,14,1,0,0,15,4,1,2,7,0,0,10,3,0,0,0.25,0.333,0.268,0.601,0.298,58.8,-0.28,4000
김선민,-0.04,32,63,50,7,11,0,0,0,11,2,3,1,10,1,0,14,3,2,0,0.22,0.361,0.22,0.581,0.296,57.1,-0.21,3000
김영환,-0.15,12,12,12,2,2,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0.167,0.167,0.167,0.333,0.157,-32.5,0.01,3700
김진곤,-0.12,13,8,8,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.125,0.125,0.125,0.25,0.118,-57.6,-0.18,3000
마르테,2.27,91,381,325,52,86,16,0,22,168,74,0,0,50,1,0,51,12,0,5,0.265,0.36,0.517,0.877,0.382,113.9,2,75000
박경수,4.04,121,476,402,64,126,22,1,20,210,80,3,1,65,5,2,80,9,0,4,0.313,0.412,0.522,0.934,0.415,135,2.22,23000
박기혁,0.1,117,348,308,36,84,13,0,2,103,34,0,2,27,1,0,53,8,10,2,0.273,0.331,0.334,0.666,0.306,64.1,-0.29,15000
박용근,-0.02,31,86,74,5,17,4,1,1,26,6,0,1,11,0,0,14,1,0,1,0.23,0.326,0.351,0.677,0.316,71,-0.1,3800
배정대,-0.12,65,55,50,10,13,1,0,0,14,3,2,1,4,0,0,18,0,1,0,0.26,0.315,0.28,0.595,0.283,48.6,0.08,3500
신현철,0.05,35,25,24,3,7,2,0,0,9,2,0,0,0,1,0,12,0,0,0,0.292,0.32,0.375,0.695,0.322,72.1,-0.08,3000
심우준,-0.22,122,251,236,36,57,9,1,3,77,17,17,1,8,0,0,40,5,5,2,0.242,0.264,0.326,0.591,0.264,37,-0.81,5000
오정복,0.67,96,344,306,45,93,11,2,5,123,36,1,0,28,0,1,32,5,6,4,0.304,0.358,0.402,0.76,0.343,88.3,0.23,7000
유민상,0.55,95,254,213,30,60,12,1,4,86,37,1,1,25,9,0,39,8,3,4,0.282,0.375,0.404,0.778,0.357,97.6,0.44,4500
유한준,3.29,110,460,408,70,137,22,0,14,201,64,4,1,47,2,1,40,10,0,3,0.336,0.404,0.493,0.897,0.405,128.6,3.42,60000
윤요섭,0.46,66,149,126,14,30,6,0,6,54,16,1,1,20,3,1,24,7,0,0,0.238,0.356,0.429,0.784,0.355,96,0.17,5600
이대형,1.75,143,654,600,89,192,14,3,1,215,42,37,20,44,2,0,90,6,7,1,0.32,0.368,0.358,0.726,0.341,86.9,0.25,30000
이진영,1.66,115,424,371,49,123,23,1,10,178,72,2,5,45,3,1,44,13,0,5,0.332,0.403,0.48,0.883,0.4,125.2,1.63,40000
전민수,0.7,74,240,213,31,65,14,1,3,90,29,5,2,19,4,0,46,4,4,0,0.305,0.373,0.423,0.795,0.361,100.2,0.8,5000
정주후,0.04,12,3,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-133.8,0.19,2900
김성욱,0.19,125,204,182,32,47,8,1,3,66,26,3,3,17,4,0,52,4,0,1,0.258,0.333,0.363,0.696,0.322,83.7,-0.59,5500
김종호,1.84,133,486,424,90,125,16,7,4,167,36,41,10,44,4,0,65,11,10,3,0.295,0.364,0.394,0.758,0.342,97.8,0.7,17500
김준완,0.03,30,54,44,12,10,0,0,0,10,2,2,1,10,0,0,10,1,0,0,0.227,0.37,0.227,0.598,0.309,74.2,-0.19,3000
김태군,0.31,144,474,421,45,107,24,0,6,149,52,1,1,25,10,0,77,12,11,7,0.254,0.307,0.354,0.661,0.295,64.8,-1.5,21000
나성범,5.14,144,622,564,112,184,34,5,28,312,135,23,4,32,15,1,127,9,3,8,0.326,0.373,0.553,0.926,0.4,136.1,2.61,30000
모창민,0.81,103,239,214,23,62,14,0,6,94,35,5,0,18,0,0,52,5,4,3,0.29,0.34,0.439,0.78,0.342,96.3,-1.21,12500
박민우,4.42,141,617,520,111,158,31,6,3,210,47,46,16,73,14,0,108,4,3,7,0.304,0.399,0.404,0.803,0.371,116.8,1.48,19000
박정준,0.22,19,24,21,2,8,2,0,0,10,2,0,0,0,3,0,5,0,0,0,0.381,0.458,0.476,0.935,0.435,158,-0.16,5300
손시헌,1.2,140,508,440,56,108,24,2,13,175,58,3,2,36,14,0,66,16,13,5,0.245,0.319,0.398,0.717,0.315,78.6,0.23,40000
용덕한,0.28,50,49,42,4,12,1,0,0,13,5,2,1,5,1,0,8,2,1,0,0.286,0.375,0.31,0.685,0.326,85.8,0.06,8500
이종욱,1.92,125,504,440,63,118,25,2,5,162,52,17,4,54,3,5,78,5,4,3,0.268,0.35,0.368,0.718,0.327,86.5,0.94,50000
이창섭,-0.01,16,8,5,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0.375,0,0.375,0.275,49.8,-0.01,3000
이호준,1.87,131,518,449,48,132,25,0,24,229,110,0,2,61,3,7,102,16,3,2,0.294,0.381,0.51,0.891,0.386,125.7,3.65,75000
조영훈,0.92,103,146,124,20,35,8,0,8,67,35,3,0,19,0,0,36,1,1,2,0.282,0.372,0.54,0.913,0.392,129.5,0.65,11000
조평호,0.14,22,22,22,4,8,2,0,1,13,3,0,0,0,0,0,6,1,0,0,0.364,0.364,0.591,0.955,0.416,145.4,-0.03,3500
지석훈,0.98,137,466,415,53,111,15,0,11,159,46,4,1,23,16,0,85,9,9,3,0.267,0.328,0.383,0.711,0.319,81,0.31,14000
최재원,0.43,114,102,85,31,21,8,0,2,35,13,14,5,10,6,0,29,1,1,0,0.247,0.366,0.412,0.778,0.355,104.1,-0.34,2500
테임즈,10.71,142,595,472,130,180,42,5,47,373,140,40,8,103,13,11,91,7,0,7,0.381,0.498,0.79,1.288,0.53,222.3,7.02,125000
권희동,0.04,14,47,41,4,11,0,0,1,14,9,0,1,5,1,0,9,0,0,0,0.268,0.362,0.341,0.703,0.337,87.9,0.09,6800
김성욱,1.23,130,348,306,60,81,15,1,15,143,51,5,2,30,3,0,64,15,7,2,0.265,0.334,0.467,0.802,0.348,94.9,0.57,10000
김종호,0.23,93,137,122,26,36,2,0,0,38,7,13,6,14,0,0,30,3,1,0,0.295,0.368,0.311,0.679,0.329,82.9,-0.01,15000
김준완,1.18,122,325,253,60,66,7,1,1,78,12,2,5,66,2,0,62,4,2,1,0.261,0.416,0.308,0.724,0.36,102.6,0.38,7000
나성범,4.42,144,653,572,116,177,37,2,22,284,113,7,4,67,9,2,136,4,1,4,0.309,0.388,0.497,0.885,0.395,125.9,1.93,35000
모창민,1,63,147,133,16,44,8,0,5,67,20,3,2,9,1,0,24,7,1,3,0.331,0.37,0.504,0.874,0.384,118.4,0.46,11700
박광열,0.13,13,15,15,0,6,0,0,0,6,0,0,0,0,0,0,3,1,0,0,0.4,0.4,0.4,0.8,0.378,115.9,-0.1,3000
박민우,4.09,121,515,435,84,149,16,6,3,186,55,20,6,55,8,1,70,9,10,7,0.343,0.42,0.428,0.847,0.387,122.1,2.5,25000
박석민,4.78,126,506,427,77,131,20,0,32,247,104,2,0,56,16,2,95,18,2,4,0.307,0.404,0.578,0.982,0.424,144.1,2.16,75000
손시헌,2.73,110,403,341,36,104,21,2,5,144,39,1,0,38,13,0,48,13,10,1,0.305,0.394,0.422,0.817,0.371,110.3,1.81,40000
이상호,0.1,15,27,25,1,7,2,0,0,9,1,3,0,0,2,0,4,3,0,0,0.28,0.333,0.36,0.693,0.326,80.8,0.19,4800
이종욱,2.54,134,517,453,73,138,24,4,5,185,57,15,3,54,1,0,73,11,4,5,0.305,0.376,0.408,0.785,0.361,104.1,1.21,50000
이호준,1.71,119,472,399,46,119,20,0,21,202,87,3,2,65,2,6,78,11,2,4,0.298,0.396,0.506,0.902,0.396,125.7,3.17,75000
조영훈,1.18,109,207,179,29,60,14,0,5,89,35,3,3,21,3,1,43,2,1,3,0.335,0.408,0.497,0.905,0.404,131.7,0.5,15000
테임즈,5.97,123,529,436,118,140,30,3,40,296,121,13,4,74,12,6,103,2,0,7,0.321,0.427,0.679,1.106,0.463,170.5,5.57,125000
강민호,5.23,123,456,380,63,118,18,1,35,243,86,0,0,60,14,2,112,14,0,2,0.311,0.421,0.639,1.061,0.451,164.9,4.59,1.00E+05
김문호,0.74,93,325,288,35,88,13,0,4,113,31,8,5,25,4,0,45,11,6,2,0.306,0.367,0.392,0.759,0.345,98.5,-0.85,7000
김민하,0.63,54,141,116,18,28,6,0,1,37,8,4,2,18,4,0,40,4,3,0,0.241,0.362,0.319,0.681,0.322,84.2,0.09,4000
김주현,0.03,47,79,73,7,19,4,0,2,29,12,1,0,5,0,0,19,3,1,0,0.26,0.308,0.397,0.705,0.313,76.5,0.04,3300
손아섭,3.8,116,517,445,86,141,28,1,13,210,54,11,6,68,1,3,96,6,0,3,0.317,0.406,0.472,0.878,0.395,131.1,1.87,60000
아두치,4.71,132,594,526,105,165,34,5,28,293,106,24,10,55,8,8,118,9,1,4,0.314,0.385,0.557,0.942,0.405,135.2,5.41,78000
안중열,0.78,60,109,98,15,26,9,0,1,38,13,1,0,6,0,0,26,3,4,1,0.265,0.305,0.388,0.693,0.3,67.9,-0.44,4000
오윤석,0.07,29,36,33,7,9,1,0,1,13,3,0,0,2,0,0,8,2,1,0,0.273,0.314,0.394,0.708,0.311,75.6,-0.14,2700
오현근,-0.08,20,36,28,3,6,2,0,0,8,3,1,1,6,0,0,6,0,2,0,0.214,0.353,0.286,0.639,0.297,66.3,-0.27,3000
장성우,0.33,22,56,49,4,12,2,1,3,25,12,0,0,5,0,0,12,3,1,1,0.245,0.309,0.51,0.819,0.342,92.9,0.35,5500
정훈,3.41,135,562,486,85,146,27,2,9,204,62,16,6,52,14,2,102,14,7,3,0.3,0.382,0.42,0.802,0.363,110.1,-0.65,21000
최준석,3.04,144,618,507,78,155,18,1,31,268,109,0,0,108,1,4,134,17,1,1,0.306,0.428,0.529,0.957,0.422,148,4.56,40000
하준호,-0.26,12,30,30,3,5,1,0,1,9,1,0,0,0,0,0,14,0,0,0,0.167,0.167,0.3,0.467,0.2,1.2,-0.23,2400
황재균,4.01,144,596,534,95,155,41,2,26,278,97,11,10,48,4,1,122,14,4,6,0.29,0.35,0.521,0.87,0.375,115.4,1.43,50000
강민호,5,116,460,381,65,123,26,0,20,209,72,4,0,66,10,4,91,7,0,3,0.323,0.433,0.549,0.981,0.434,147.7,5.06,1.00E+05
김동한,0.05,50,96,88,6,23,5,0,0,28,12,4,1,6,0,0,16,1,2,0,0.261,0.309,0.318,0.627,0.29,56,0.14,3800
김문호,2.47,140,599,526,77,171,28,3,7,226,70,12,15,62,6,1,70,15,3,2,0.325,0.401,0.43,0.831,0.384,117,1.35,14000
김사훈,0.02,19,36,28,5,9,1,0,0,10,4,0,0,3,0,0,6,1,5,0,0.321,0.387,0.357,0.744,0.307,68,-0.05,2900
김상호,0.57,114,415,366,39,106,20,0,7,147,56,3,1,38,4,2,84,10,2,5,0.29,0.358,0.402,0.76,0.347,92.6,-0.92,6000
김주현,-0.11,21,33,29,4,6,4,0,0,10,1,1,0,3,0,0,12,0,1,0,0.207,0.281,0.345,0.626,0.279,47.6,-0.46,3400
김준태,0.39,68,144,120,12,33,3,1,2,44,16,0,0,22,0,1,42,0,1,1,0.275,0.385,0.367,0.751,0.352,97.4,0.41,2500
맥스웰,0.75,23,99,80,14,23,3,1,4,40,16,2,2,15,3,0,25,0,0,1,0.288,0.414,0.5,0.914,0.411,134,0.71,28000
문규현,0.27,120,368,316,38,86,10,0,4,108,40,2,3,29,1,0,39,10,19,2,0.272,0.333,0.342,0.675,0.301,62.9,-0.92,12000
박헌도,0.36,37,82,69,9,18,7,0,3,34,11,1,0,10,3,0,25,1,0,0,0.261,0.378,0.493,0.871,0.39,118.6,0.11,5600
손아섭,5.3,144,672,575,118,186,33,1,16,269,81,42,4,92,3,1,104,4,0,2,0.323,0.418,0.468,0.886,0.406,131,6.03,65000
신본기,0.82,25,104,81,13,25,4,0,1,32,10,0,1,13,8,0,12,3,2,0,0.309,0.451,0.395,0.846,0.402,128.1,0.52,5500
아두치,1.41,64,272,247,46,72,18,3,7,117,41,15,2,18,1,1,59,5,1,5,0.292,0.336,0.474,0.81,0.354,97.1,0.53,78000
오현근,0.02,19,17,15,4,3,0,0,0,3,2,2,0,2,0,0,5,0,0,0,0.2,0.294,0.2,0.494,0.254,33.9,0,3000
이여상,-0.1,61,83,72,10,18,3,1,0,23,7,2,2,7,0,0,25,0,3,1,0.25,0.313,0.319,0.632,0.287,55.6,0.09,4000
전준우,0.19,25,113,99,16,25,7,0,2,38,10,3,3,7,6,0,25,4,1,0,0.253,0.339,0.384,0.723,0.333,83,0.1,20500
정훈,0.73,121,439,370,48,97,18,2,2,125,46,7,7,43,16,0,75,12,8,2,0.262,0.362,0.338,0.7,0.331,82.5,1.07,15000
최준석,0.7,116,396,325,49,85,10,0,19,152,70,0,0,64,3,2,102,14,0,4,0.262,0.384,0.468,0.852,0.381,113.9,1.26,40000
황재균,5.55,127,559,498,97,167,26,5,27,284,113,25,10,49,4,5,66,10,0,8,0.335,0.394,0.57,0.964,0.417,137.3,4.03,50000
강경학,0.11,120,376,311,50,80,7,4,2,101,27,4,3,40,5,1,58,3,18,3,0.257,0.348,0.325,0.673,0.304,66.4,-0.32,6500
김경언,2.76,107,437,377,58,127,21,1,16,198,78,1,3,50,2,3,89,9,5,3,0.337,0.414,0.525,0.94,0.411,136.4,4.94,20000
김태균,4.17,133,524,408,61,129,28,0,21,220,104,3,1,98,12,12,80,19,1,5,0.316,0.457,0.539,0.996,0.436,153.7,5.83,160000
김회성,0.79,83,268,225,36,47,10,2,16,109,35,2,4,28,10,0,58,4,3,2,0.209,0.321,0.484,0.805,0.345,93.5,-0.11,5500
모건,0.21,10,42,33,2,9,2,0,0,11,5,1,1,4,4,0,8,1,0,1,0.273,0.405,0.333,0.738,0.359,102.4,0.15,55000
박노민,0.03,23,26,24,1,8,0,0,0,8,4,0,0,2,0,0,11,0,0,0,0.333,0.385,0.333,0.718,0.344,91.6,-0.29,4000
송광민,-0.02,12,41,37,2,9,2,0,0,11,1,0,0,2,1,0,11,1,1,0,0.243,0.3,0.297,0.597,0.276,48,-0.25,10000
이성열,0.67,97,254,219,34,55,10,2,9,96,35,1,1,19,9,1,83,5,5,2,0.251,0.333,0.438,0.772,0.336,87,1.17,25000
이시찬,0,34,72,64,7,18,1,0,0,19,6,1,1,4,1,0,12,3,1,2,0.281,0.324,0.297,0.621,0.29,56.7,-0.39,5100
이용규,4.96,124,585,493,94,168,15,7,4,209,42,28,10,68,9,5,45,4,11,4,0.341,0.427,0.424,0.851,0.386,119.6,2.61,70000
이종환,0.04,31,88,84,13,26,3,0,0,29,12,0,0,4,0,0,15,0,0,0,0.31,0.341,0.345,0.686,0.321,77.2,-0.01,6200
정근우,4.91,126,552,468,99,148,30,2,12,218,66,21,6,61,8,1,66,14,13,2,0.316,0.403,0.466,0.868,0.384,119.2,4.05,70000
정현석,0.6,43,133,116,20,36,6,0,1,45,12,0,0,13,2,1,24,3,2,0,0.31,0.389,0.388,0.777,0.356,100.7,-0.12,9500
조인성,0.05,106,310,276,33,64,11,0,11,108,44,0,0,16,6,0,89,5,11,1,0.232,0.288,0.391,0.679,0.293,58.8,0.36,40000
최진행,2.38,109,410,333,55,97,17,0,18,168,64,0,3,65,4,6,101,9,5,3,0.291,0.41,0.505,0.914,0.397,128.2,2.06,18500
폭스,0.16,38,121,108,16,30,4,0,7,55,25,0,0,8,3,1,27,9,0,2,0.278,0.339,0.509,0.848,0.364,105.8,-0.14,8500
권용관,0.06,40,49,44,7,11,2,1,0,15,3,0,0,2,2,0,12,2,1,0,0.25,0.313,0.341,0.653,0.3,61.3,-0.68,8000
김경언,0.26,66,217,182,23,48,6,1,5,71,25,3,0,28,2,0,46,7,2,3,0.264,0.363,0.39,0.753,0.346,90,-0.07,20000
김원석,-0.02,11,9,8,2,2,0,0,0,2,0,0,0,1,0,0,5,0,0,0,0.25,0.333,0.25,0.583,0.293,56.3,-0.08,3000
김태균,5.5,144,652,529,94,193,39,0,23,301,136,1,0,108,9,10,97,11,0,6,0.365,0.476,0.569,1.045,0.463,165.5,7.37,160000
김태완,0.25,24,24,20,3,7,1,1,0,10,0,0,0,3,1,0,8,0,0,0,0.35,0.458,0.5,0.958,0.441,152.9,-0.13,8000
로사리오,3.01,127,532,492,78,158,31,2,33,292,120,1,3,33,4,3,90,16,1,2,0.321,0.367,0.594,0.961,0.411,131,3.53,150000
송광민,2.95,116,494,449,80,146,27,2,17,228,83,3,0,28,4,0,86,16,7,6,0.325,0.366,0.508,0.873,0.381,112.3,2,20000
신성현,0.38,89,184,158,30,44,8,0,8,76,24,0,4,15,5,0,54,3,6,0,0.278,0.36,0.481,0.841,0.363,100.6,0.48,3700
양성우,0,108,446,384,52,104,12,4,4,136,53,5,2,39,9,0,67,6,8,6,0.271,0.347,0.354,0.701,0.324,76.1,0.47,8000
이동훈,-0.04,17,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-133.8,-0.06,2800
이성열,0.81,86,219,198,29,57,7,3,10,100,29,0,0,11,8,0,62,3,2,0,0.288,0.35,0.505,0.855,0.374,107.5,0.53,23000
이용규,4.31,113,530,452,98,159,20,4,3,196,41,21,11,63,7,1,29,7,7,1,0.352,0.438,0.434,0.872,0.404,128.1,3.44,90000
정근우,4.37,138,650,575,121,178,31,2,18,267,88,22,6,60,9,2,58,14,1,5,0.31,0.381,0.464,0.845,0.381,112.5,3.71,70000
주현상,-0.04,15,8,8,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.5,0.236,19,-0.09,3700
최진행,0.31,28,85,70,4,23,2,0,1,28,9,0,0,11,2,0,16,1,2,0,0.329,0.434,0.4,0.834,0.389,118.2,0.3,17000
하주석,1,115,441,405,58,113,21,1,10,166,57,5,7,18,9,1,115,3,8,1,0.279,0.323,0.41,0.733,0.326,77.1,0.9,9000
허도환,0.11,48,93,78,9,17,8,0,0,25,12,0,0,6,5,0,21,2,4,0,0.218,0.315,0.321,0.635,0.291,55.3,-0.12,7800
강지광,0.08,13,21,18,3,5,0,0,0,5,2,0,0,2,1,0,9,0,0,0,0.278,0.381,0.278,0.659,0.329,87.9,0.28,2700
고종욱,1.09,119,443,407,81,126,25,4,10,189,51,22,14,25,6,1,81,10,4,1,0.31,0.358,0.464,0.822,0.364,108.7,1.29,7700
김민성,2.44,118,489,445,60,135,24,0,16,207,71,1,1,31,8,1,62,15,2,3,0.303,0.357,0.465,0.823,0.365,108.2,-0.83,22000
김재현,-0.12,59,71,65,7,17,3,0,1,23,6,0,0,2,1,0,15,1,2,1,0.262,0.29,0.354,0.644,0.283,55.3,-0.62,4400
김지수,0,104,151,132,23,31,7,0,0,38,13,2,1,9,2,0,27,2,7,1,0.235,0.292,0.288,0.58,0.261,41.2,-0.69,5500
김하성,4.94,140,582,511,89,148,35,5,19,250,73,22,4,56,5,2,115,10,4,6,0.29,0.362,0.489,0.851,0.372,112.9,0.99,16000
문우람,0.05,63,138,119,22,28,10,0,2,44,22,1,1,12,3,1,30,1,1,3,0.235,0.314,0.37,0.684,0.306,69,-0.56,9000
박동원,1.48,127,443,379,47,101,12,1,14,157,61,0,0,37,9,0,93,4,10,8,0.266,0.34,0.414,0.754,0.332,86.6,0.86,14000
박병호,7.76,140,622,528,129,181,35,1,53,377,146,10,3,78,12,6,161,10,0,4,0.343,0.436,0.714,1.15,0.481,181.9,7.82,70000
박헌도,0.8,108,267,218,31,54,13,0,8,91,42,0,2,37,7,0,52,6,3,2,0.248,0.371,0.417,0.789,0.357,102.5,-0.08,2600
서건창,1.51,85,368,312,52,93,24,4,3,134,37,9,2,42,1,0,24,7,11,2,0.298,0.381,0.429,0.81,0.359,105.8,2.35,26000
서동욱,0.1,55,118,103,14,24,5,0,3,38,15,0,0,11,3,0,45,1,1,0,0.233,0.325,0.369,0.694,0.317,77.3,-0.36,5800
스나이더,2.26,113,487,431,88,121,26,1,26,227,71,4,2,37,11,0,135,2,3,5,0.281,0.349,0.527,0.876,0.377,115.3,1.29,27000
유재신,0.36,62,32,27,21,7,2,0,0,9,3,10,1,3,0,0,10,2,2,0,0.259,0.333,0.333,0.667,0.294,62.9,0.17,6000
유한준,5.87,139,598,520,103,188,42,1,23,301,116,3,3,67,2,2,71,13,1,8,0.362,0.431,0.579,1.009,0.44,157.6,4.14,11500
윤석민,1.3,108,418,361,54,106,24,1,14,174,71,3,2,37,8,1,62,16,5,7,0.294,0.366,0.482,0.848,0.37,111.1,2.38,16000
이성열,0.58,101,268,232,35,58,10,2,9,99,36,1,1,20,9,1,87,5,5,2,0.25,0.331,0.427,0.758,0.332,84.2,1.12,11000
이택근,2.46,105,401,347,61,113,16,1,10,161,44,11,6,44,3,4,53,8,3,4,0.326,0.402,0.464,0.866,0.386,122.6,1.67,50000
임병욱,-0.15,40,52,43,13,8,1,1,1,14,3,2,4,9,0,0,23,1,0,0,0.186,0.327,0.326,0.653,0.309,73.6,-0.17,4000
강지광,-0.26,40,80,66,10,13,2,0,1,18,7,1,3,11,1,0,24,1,1,1,0.197,0.317,0.273,0.589,0.286,50.7,-0.48,3000
고종욱,2.36,133,566,527,92,176,22,9,8,240,72,28,14,28,5,1,103,10,1,5,0.334,0.37,0.455,0.825,0.373,105.4,4.38,12000
김민성,3.37,141,579,510,76,156,39,5,17,256,90,6,3,53,3,3,89,15,1,12,0.306,0.367,0.502,0.869,0.38,111.6,1.81,37000
김민준,-0.24,20,13,12,4,1,0,0,0,1,0,0,1,1,0,0,5,0,0,0,0.083,0.154,0.083,0.237,0.13,-50.1,-0.19,2700
김웅빈,0.1,10,15,14,4,6,0,0,1,9,4,0,0,0,0,0,3,0,0,1,0.429,0.4,0.643,1.043,0.441,150.7,0.25,3000
김재현,-0.31,56,82,72,8,13,2,0,0,15,8,0,0,7,1,0,14,1,2,0,0.181,0.263,0.208,0.471,0.231,14.9,-0.13,4400
김지수,0.32,81,106,91,16,26,5,0,3,40,9,2,2,10,0,0,16,3,4,1,0.286,0.353,0.44,0.793,0.345,88.8,0.2,5500
김하성,3.81,144,599,526,92,148,29,7,20,251,84,28,15,60,6,2,80,7,2,5,0.281,0.359,0.477,0.836,0.37,104.8,1.12,22000
박동원,0.85,127,454,411,44,102,25,1,14,171,70,3,1,27,7,0,93,18,6,3,0.248,0.304,0.416,0.72,0.317,71.1,-1.14,20000
박정음,1.1,98,263,223,45,69,5,3,4,92,26,16,9,30,3,0,52,5,5,2,0.309,0.395,0.413,0.808,0.37,103.8,0.81,6600
서건창,4.46,140,646,560,111,182,30,7,7,247,63,26,13,69,10,2,58,6,3,4,0.325,0.406,0.441,0.847,0.389,116.6,4.17,40000
유재신,-0.01,93,74,62,20,16,0,0,0,16,6,16,7,10,0,0,12,0,2,0,0.258,0.361,0.258,0.619,0.305,62.5,-0.41,6500
윤석민,2.96,92,402,341,72,114,15,0,19,186,80,2,3,46,9,3,50,16,0,6,0.334,0.42,0.545,0.966,0.425,141.6,2.11,21000
이택근,1.93,127,460,398,64,123,19,1,8,168,65,7,4,53,3,1,56,11,0,6,0.309,0.389,0.422,0.811,0.374,107.6,1.55,50000
임병욱,0.59,104,265,233,43,58,11,1,8,95,24,17,6,25,1,0,82,2,6,0,0.249,0.324,0.408,0.732,0.325,75.5,-0.37,6500
장영석,0.02,23,33,26,6,5,2,0,0,7,3,0,1,7,0,0,10,1,0,0,0.192,0.364,0.269,0.633,0.321,73.6,0.14,3600
채태인,-0.14,124,417,370,29,106,14,3,7,147,72,0,1,36,2,1,92,13,0,9,0.286,0.345,0.397,0.743,0.339,84.1,1.79,30000
허정협,-0.1,13,20,17,0,3,0,0,0,3,1,0,0,3,0,0,7,1,0,0,0.176,0.3,0.176,0.477,0.254,29.3,-0.12,3300
홍성갑,-0.29,44,68,62,4,14,0,1,0,16,7,1,0,1,5,0,18,2,0,0,0.226,0.294,0.258,0.552,0.271,39.8,-0.11,3600
